ID,Status,Paper_Type,Title,Authors,Year,Venue,DOI,Database_Source,Dataset,Subjects,Channels,Emotion_Model,Label_Type,Classes_or_Dimensions,Stimulus_Type,Preprocessing,Feature_Type,Features,Model_Category,Model_Name,Training_Setup,Evaluation_Setting,Metrics,Best_Result,Code_Available,Main_Contribution,Limitations,Notes,
13,Screened,Original Research,Automatically Extracting and Utilizing EEG Channel Importance Based on Graph Convolutional Network for Emotion Recognition,Kun Yang; Zhenning Yao; Keze Zhang; Jing Xu; Li Zhu; Shichao Cheng; Jianhai Zhang,2024,IEEE Journal of Biomedical and Health Informatics,10.1109/JBHI.2024.3404146,PubMed,EEG emotion datasets,,,,emotion recognition,,,,,,Graph neural network,GCN with channel-importance extraction,,study-reported setting,study-reported classification metrics,,,Addresses dimensionality reduction and channel importance before graph modeling.,Need full-text extraction for benchmark details and whether cross-subject evaluation is included.,Useful for discussing channel-selection and graph sparsification trends.,
14,Screened,Original Research,Convolution spatial-temporal attention network for EEG emotion recognition,Lei Cao; Binlong Yu; Yilin Dong; Tianyu Liu; Jie Li,2024,Physiological Measurement,10.1088/1361-6579/ad9661,PubMed,EEG emotion datasets,,,,emotion recognition,,,,,,Attention-based deep learning,spatial-temporal attention network,,study-reported setting,study-reported classification metrics,,,Transforms EEG into spatiotemporal representations and emphasizes automatic feature learning over manual engineering.,Need detailed extraction for datasets and protocol.,Good representative paper for attention-based non-graph architectures.,
15,Screened,Original Research,EEG Emotion Recognition Network Based on Attention and Spatiotemporal Convolution,Xiaoliang Zhu; Chen Liu; Liang Zhao; Shengming Wang,2024,Sensors,10.3390/s24113464,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,,,,,,Attention-based deep learning,attention plus spatiotemporal convolution,,study-reported setting,study-reported classification metrics,,,Represents the 2024 trend of integrating attention mechanisms with spatiotemporal convolution for EEG affect decoding.,Need full-text extraction for exact architecture and results.,Open-access source that can be mined quickly for details.,
16,Screened,Original Research,Domain adaptation spatial feature perception neural network for cross-subject EEG emotion recognition,Wei Lu; Xiaobo Zhang; Lingnan Xia; Hua Ma; Tien-Ping Tan,2024,Frontiers in Human Neuroscience,10.3389/fnhum.2024.1471634,PubMed; PMC,cross-subject EEG emotion datasets,,,,emotion recognition,cross-subject,,,,,Domain adaptation,spatial feature perception network,cross-subject,subject-independent,study-reported classification metrics,,,Addresses the challenge of jointly capturing spatial activity and spatial topology features under cross-subject transfer.,Need exact dataset and comparative performance extraction.,Important for the domain-adaptation subsection.,
17,Screened,Original Research,Multi-source domain adaptation for EEG emotion recognition based on inter-domain sample hybridization,Xu Wu; Xiangyu Ju; Sheng Dai; Xinyu Li; Ming Li,2024,Frontiers in Human Neuroscience,10.3389/fnhum.2024.1464431,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,cross-subject,,,,,Multi-source domain adaptation,inter-domain sample hybridization,,subject-independent,study-reported classification metrics,,,Uses inter-domain sample hybridization to improve robustness under nonstationary EEG differences between subjects or sessions.,Need exact evaluation details from full text.,Useful for comparing multi-source adaptation strategies.,
18,Screened,Original Research,Emotion recognition using multi-scale EEG features through graph convolutional attention network,Liwen Cao; Wenfeng Zhao; Biao Sun,2025,Neural Networks,10.1016/j.neunet.2024.107060,PubMed,EEG emotion datasets,,,,emotion recognition,,,,,,Graph neural network with attention,GCAN on multi-scale features,,study-reported setting,study-reported classification metrics,,,Combines multi-scale EEG feature design with graph convolutional attention for emotion recognition.,"Need full-text extraction for datasets, scale design, and protocol.",Good 2025 continuation of graph-attention trend.,
19,Screened,Original Research,EmT: A Novel Transformer for Generalized Cross-Subject EEG Emotion Recognition,Yi Ding; Chengxuan Tong; Shuailei Zhang; Muyun Jiang; Yong Li; Kevin JunLiang Lim; Cuntai Guan,2025,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2025.3552603,PubMed,cross-subject EEG emotion datasets,,,,emotion recognition,cross-subject,,,,,Transformer,EmT,cross-subject,subject-independent,study-reported classification metrics,,,Integrates neurophysiology prior knowledge into a transformer architecture for generalized cross-subject EEG emotion recognition.,Need full-text extraction for exact datasets and benchmark results.,High-value paper for the transformer subsection and cross-subject discussion.,
20,Screened,Original Research,HASTF: a hybrid attention spatio-temporal feature fusion network for EEG emotion recognition,Fangzhou Hu; Fei Wang; Jinying Bi; Zida An; Chao Chen; Gangguo Qu; Shuai Han,2024,Frontiers in Neuroscience,10.3389/fnins.2024.1479570,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,,,,,,Attention-based deep learning,hybrid attention spatio-temporal feature fusion network,,study-reported setting,study-reported classification metrics,,,Targets joint spatio-temporal fusion and interpretability in affective BCI-oriented EEG emotion recognition.,"Need exact dataset, metric, and comparison extraction from full text.",Useful bridge paper between attention models and affective BCI framing.,
21,Screened,Original Research,CATM: A Multi-Feature-Based Cross-Scale Attentional Convolutional EEG Emotion Recognition Model,Hongde Yu; Xin Xiong; Jianhua Zhou; Ren Qian; Kaiwen Sha,2024,Sensors,10.3390/s24154837,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,,,,,,Attention-based deep learning,cross-scale attentional convolutional model,,study-reported setting,study-reported classification metrics,,,"Combines time, frequency, and spatial cues through cross-scale attention over multi-feature EEG representations.",Need detailed extraction for feature construction and benchmarks.,Good representative paper for multi-feature CNN attention designs.,
22,Screened,Original Research,Spatio-temporal CNN-BiLSTM dynamic approach to emotion recognition based on EEG signal,Usman Goni Redwan; Tanha Zaman; Hazzaz Bin Mizan,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2025.110277,PubMed,SEED,,,,emotion recognition,three-class,positive negative neutral,,PSD features,,,Hybrid deep learning,CNN-BiLSTM,,study-reported setting,study-reported classification metrics,,,Presents a CNN-BiLSTM hybrid using PSD-based representations on SEED for dynamic EEG emotion recognition.,Need full-text extraction for exact preprocessing and validation protocol.,Useful to balance the corpus with CNN-RNN hybrids beyond graph-centric work.
23,Screened,Original Research,Brain-inspired modular echo state network for EEG-based emotion recognition,Liuyi Yang; Zhaoze Wang; Guoyu Wang; Lixin Liang; Meng Liu; Junsong Wang,2024,Frontiers in Neuroscience,10.3389/fnins.2024.1305284,PubMed; PMC,EEG emotion datasets,,,,emotion recognition,,,,,,Recurrent model,modular echo state network,,study-reported setting,study-reported classification metrics,,,Represents a lightweight recurrent modeling direction for EEG emotion recognition with lower training complexity than heavier deep architectures.,Need exact dataset and result extraction from full text.,Useful when comparing lightweight models and deployment-oriented methods.,
24,Screened,Original Research,Cross-modal credibility modelling for EEG-based multimodal emotion recognition,Yuzhe Zhang; Huan Liu; Di Wang; Dalin Zhang; Tianyu Lou; Qinghua Zheng; Chai Quek,2024,Journal of Neural Engineering,10.1088/1741-2552/ad3987,PubMed,EEG plus peripheral physiological modalities,,,,emotion recognition,multimodal,,,,,,Multimodal fusion,cross-modal credibility modelling,,study-reported setting,study-reported classification metrics,,,Addresses modality heterogeneity and signal credibility in EEG-centered multimodal emotion recognition.,"Need full-text extraction for modality set, datasets, and evaluation details.",Important if the review keeps a bounded multimodal subsection.
25,Screened,Original Research,Multimodal Emotion Recognition Based on EEG and EOG Signals Evoked by the Video-Odor Stimuli,Minchao Wu; Wei Teng; Cunhang Fan; Shengbing Pei; Ping Li; Guanxiong Pei; Taihao Li; Wen Liang; Zhao Lv,2024,IEEE Transactions on Neural Systems and Rehabilitation Engineering,10.1109/TNSRE.2024.3457580,PubMed,EEG and EOG under video-odor stimuli,,,,emotion recognition,multimodal,video-odor stimuli,,,,,Multimodal fusion,EEG-EOG multimodal model,,study-reported setting,study-reported classification metrics,,,Introduces a multisensory elicitation paradigm and EEG-EOG multimodal emotion-recognition framework.,Need detailed extraction for experimental design and labels.,Useful for discussing richer elicitation paradigms and multimodal affective BCI extensions.
